"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vmp1_69615",473.924638822789,-1.10120558078385,0.230681723957516,-4.77370101927388,1.80870837420849e-06,0.00108864373933681
"Gsn_69893",1546.60984714216,0.637946194612261,0.134298697821593,4.75020387360518,2.03211671024599e-06,0.00112877309531797
"Ddo_66707",365.99836460737,-0.682848432991883,0.144658444833813,-4.72041873377219,2.35359627553788e-06,0.00115551407796541
"Ltbp2_69996",968.224435231804,1.08610084238047,0.229952712780005,4.7231486389097,2.32220995683235e-06,0.00115551407796541
"Mbtps1_67068",200.655051541085,-0.846919184861332,0.179653895601889,-4.71417100099014,2.42696787858794e-06,0.00115551407796541
"Sept2_72375",1118.30716539432,0.479876484935879,0.10132202855963,4.7361515729372,2.17814710014118e-06,0.00115551407796541
"Txnrd1_72590",789.157856815771,0.932568189257743,0.197716544490252,4.716692736372,2.39709284047675e-06,0.00115551407796541
"Tekt2_78726",147.266707130718,-0.810733945889257,0.172561370585072,-4.69823543438749,2.62418832152871e-06,0.00121470761638762
"Dcp1b_29958",30.5429562777052,-1.55712083243295,0.33199949162152,-4.69013017106686,2.73031297031902e-06,0.00122967392803773
"Cyp2s1_65869",168.925759228269,-1.13184370719509,0.241899359875246,-4.67898595423655,2.88297189152868e-06,0.00126425904211668
"Crb1_67655",42.1376334450701,-1.3798313126458,0.296936007644816,-4.64689790770107,3.36963823689063e-06,0.00137243323328767
"Gm3150_31169",538.500798887101,-0.850277060392091,0.182994426044483,-4.64646425998463,3.37672603005247e-06,0.00137243323328767
"Trrap_70161",166.822097681777,-0.857356350127269,0.184406942027402,-4.64926287861695,3.33123414319232e-06,0.00137243323328767
"Slf1_70206",66.9309505884669,-1.30488872792934,0.281431232378316,-4.63661661465932,3.54158424025617e-06,0.00140516570903878
"Atad5_73477",42.3741791033949,-1.26553382834399,0.27348072550625,-4.62750647600965,3.70094663067785e-06,0.00140923873024101
"Gas2l2_60971",246.018424507384,-0.930468225801258,0.201121975902866,-4.62638765169371,3.72098560553316e-06,0.00140923873024101
"Txn1_80289",1396.82188883609,0.540128805663134,0.1169513970587,4.61840404858126,3.86702719239404e-06,0.00143200313631232
"C1galt1_60779",772.503813680608,-0.772548735643602,0.167781965100392,-4.60448019655359,4.13497360873013e-06,0.0014979391351278
"AA986860_70183",205.499427391028,0.801067432507027,0.174759567906141,4.58382589351136,4.56544425549759e-06,0.00161869283135344
"Acvrl1_73083",1710.23222890622,0.619027206342986,0.135326428224004,4.57432605343222,4.77755337743281e-06,0.00165860728086542
"Paip2_67989",745.613843457152,-0.816013957021836,0.178681223595531,-4.56687020942386,4.9506032427056e-06,0.00168360923339686
"Actg1_77590",860.243532417137,0.667225705115131,0.146666891114695,4.54925920938321,5.38350963067373e-06,0.00172520777856821
"Bdh1_30459",121.813785247213,-0.696298059614474,0.15296059098583,-4.5521402285833,5.31029200529821e-06,0.00172520777856821
"Psmc6_55718",405.119726961881,0.561673660502407,0.123305033638846,4.55515597317397,5.23467222201941e-06,0.00172520777856821
"Apln_68427",132.775656290653,1.16591251643335,0.256753094724629,4.54098719894225,5.59914316383711e-06,0.0017604551260789
"Ift20_65044",590.106825584483,0.877486575821294,0.194358014452007,4.51479491748961,6.33780677868743e-06,0.0018859502171437
"Nrg1_74185",76.1414874229665,1.06529317923188,0.235638730577057,4.52087471623651,6.15846291677438e-06,0.0018859502171437
"Prnp_82120",339.589485625022,0.664104315183855,0.146982628639199,4.5182503628646,6.23527304710589e-06,0.0018859502171437
"Arih1_65488",1154.22011183984,-0.368658734106342,0.0817287132572865,-4.51076151102225,6.45953124559387e-06,0.00188844962590485
"Tmem176a_80341",1138.67491764161,-0.648062059116645,0.144376649974351,-4.48869023648751,7.16624120578848e-06,0.00205893523195275
"Pcsk7_57804",180.240399454777,0.640929395131383,0.143046004764794,4.48058228669331,7.44396731005711e-06,0.00207554266121821
"Ubtf_69427",2127.13217429752,-0.543223259511267,0.121262034255721,-4.47974720897147,7.47314928427102e-06,0.00207554266121821
"Calr_31260",2395.17487312217,1.0269957986702,0.230002834614403,4.46514409438452,8.00148812743324e-06,0.0021240664730082
"Manea_77830",67.946332967809,-1.49517765826996,0.33444205730977,-4.47066278175979,7.79775667035259e-06,0.0021240664730082
"Tpm3_71298",2809.63892870256,0.954825831179198,0.21387667643667,4.4643756724073,8.03025610894841e-06,0.0021240664730082
"mt-Atp8_82082",416.74181878962,-1.20405052622609,0.270784505466083,-4.44652667313309,8.72698355321335e-06,0.00226170532818637
"Rasa1_29997",610.417625887883,-0.495652798486198,0.111528081720333,-4.44419728951398,8.82206230989643e-06,0.00226170532818637
