"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sp140_70804",369.537200095972,2.18077694062565,0.19405483626262,11.237941721145,2.65500441907276e-29,5.14453414411958e-27
"Mx2_57845",78.2163241662582,4.15623831914323,0.370225719142292,11.2262279583711,3.03145671281159e-29,5.80645915658532e-27
"Sod2_64335",1165.03961054083,2.05020418066762,0.183560801710902,11.1690740155764,5.77800771563282e-29,1.09414455196938e-26
"Slfn8_74435",98.7346347574387,3.04680070500882,0.273783307074083,11.1285115866629,9.11446779557384e-29,1.70655608253306e-26
"Rsad2_31088",1377.72430157219,5.13719346266346,0.461835787209529,11.1234200660435,9.65003571564157e-29,1.78675772406057e-26
"Sbno2_74429",287.059000574489,2.26139096322402,0.203553015987692,11.1095920256999,1.12673106177351e-28,2.06327982564768e-26
"1810010H24Rik_75772",1160.26976632195,-1.98331768790909,0.179339565045735,-11.0590080186896,1.98278224082244e-28,3.59054567181534e-26
"Trafd1_66514",1280.45517697579,2.09267519247188,0.18924433144026,11.0580601096233,2.00384510008897e-28,3.59054567181534e-26
"Upp1_31815",256.043761300638,2.59886580330042,0.235484175257331,11.0362651777362,2.55430931284086e-28,4.52819259459362e-26
"Sp100_66000",821.600082870954,2.07345632354691,0.188939453435411,10.9741839824668,5.08630132016784e-28,8.92190791571336e-26
"Bcl6b_70170",368.676675709919,2.0503476913292,0.187736115893335,10.9214344910285,9.10463220605305e-28,1.58041240710071e-25
"Tnfaip2_64104",187.953260731056,3.80660304219413,0.348829953727181,10.9124890265911,1.00467260320042e-27,1.72596538760122e-25
"Irf1_78686",176.38299914846,2.02008069232499,0.185233533077914,10.9055885225452,1.08389596630864e-27,1.84306554924155e-25
"Cd83_77099",320.220269319216,2.89238259506648,0.265712665371148,10.8853772213921,1.3533714055477e-27,2.27803849515625e-25
"Psme2_75632",538.087679775481,1.99060777950574,0.183020879960805,10.8763971626191,1.49349907897106e-27,2.48876686519738e-25
"Nupr1_65846",858.137087722466,1.73196229227976,0.159368547796967,10.8676543535193,1.64372478967028e-27,2.71198315792727e-25
"Malt1_69431",121.711951469811,2.60172110342605,0.239519887040566,10.8622341784313,1.74428640205832e-27,2.84968515724509e-25
"Zbp1_32091",137.083608981373,3.81593461919842,0.351542671059429,10.8548262653251,1.89166178188674e-27,3.06045164401559e-25
"Mx1_30118",212.778107097121,5.48772603597262,0.507085256545118,10.8220973990877,2.70514795589419e-27,4.33447937855968e-25
"Ifit1_72951",318.100058248082,5.02143048569427,0.464401023936205,10.8127033035656,2.99705601651518e-27,4.75647061516275e-25
"Serpine1_30978",730.516340671995,3.04959346164627,0.282880746632646,10.7804914189036,4.25605905897656e-27,6.69084605271561e-25
"Myd88_81930",727.149233492755,1.71969597431967,0.159709617554788,10.7676419281997,4.89374478083773e-27,7.62143579699813e-25
"Nfkbia_29762",4437.39102549322,2.52941081179403,0.235049440272408,10.7611862800549,5.24900678232302e-27,8.09902305746582e-25
"Birc3_66120",407.273449552482,2.53874381209721,0.236160921026979,10.7500589049921,5.92237840519564e-27,9.05417557286057e-25
"Sbno2_67698",445.246642581838,1.98587156180651,0.185287318055553,10.7177953820407,8.39812224834125e-27,1.27223917405781e-24
"Oas1b_80080",123.138859629294,3.02655189004189,0.283208064327728,10.6866727020159,1.17511335278087e-26,1.76415215412076e-24
"Tnfaip2_69751",90.0705894652282,3.90961284967617,0.365907292092491,10.6847087613874,1.20025181488092e-26,1.76999966753766e-24
"Zbp1_31398",97.8654534205252,4.12364828452375,0.385929248341917,10.6849851423295,1.19668215937872e-26,1.76999966753766e-24
"Tgtp1_67248",159.7224636414,3.80382931201623,0.35649520653015,10.6700714128523,1.40518346815921e-26,2.05403309766711e-24
"Cd40_75097",141.295340925864,2.51751142477299,0.236366915935267,10.6508620921485,1.72757678260286e-26,2.50333387002557e-24
"Herc6_30292",1326.6186307989,2.63746256265889,0.247917676025261,10.6384611413917,1.97361903218445e-26,2.835205823476e-24
"Relb_71961",93.4107959816544,2.39006561749155,0.22468924822452,10.6372051016135,2.00039876641203e-26,2.84911496098205e-24
"Ccl3_30767",220.488715130115,5.57102732688253,0.526299545681768,10.5852786166969,3.48741677717371e-26,4.9249417944765e-24
"Gk_63112",183.414800566653,2.20809196984677,0.20892718351215,10.568715533938,4.16155205455757e-26,5.82757171740734e-24
"Cd44_29635",1486.66329220011,1.66533845592369,0.157827303879021,10.5516499046339,4.99128070641295e-26,6.93122514097212e-24
