ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10826884	494.41	453.16	458.21	509.8	502.05	483.15
10826897	1079.61	1008.68	996.2	1171.79	1085.84	1121.49
10826902	1128.66	1092.64	1050.46	757.57	902.92	902.92
10826914	663.93	675.42	653.83	731.74	706.7	721.61
10826918	1219.44	1096.51	1128.19	747.08	880.52	873.13
10826943	155.56	150.76	162.5	121.62	126.15	133.97
10826954	42.51	35.32	32.43	33.02	26.5	26.27
10826956	87.75	67.61	78.65	52.72	67.54	64.74
10826958	90.14	86.03	90.86	69.22	70.77	72.56
10826967	129.47	83.14	98.13	51.77	55.95	65.72
10826969	63.43	56.41	51.52	38.57	41.98	45.67
10826971	62.06	62.87	64.95	71.26	59.76	67.06
10826980	106.45	114.02	118.62	91.37	95.36	102.31
10826983	157.47	116.29	135.56	186.74	94.53	95.51
10826985	676.82	772.1	925.6	1030.48	1026.99	866.05
10826997	156.18	161.43	150.34	185.43	151.64	149.36
10827000	66.56	79.87	87.51	90.24	84.01	89.63
10827020	37.49	32.7	37.51	36.79	33.05	30.95
10827029	1522.05	1444.35	1514.16	1603.94	1502.55	1534.44
10827041	457.25	411.86	446.64	446.36	392.72	413.57
10827043	1007.72	1397.76	1226.98	2972.99	2160.58	2298.54
10827058	38.73	34.36	39.76	34.37	33.05	32.52
10827061	246.81	304.94	307.74	245.33	249.21	297.53
10827066	35.66	42	40.59	42.86	42.9	37.55
10827068	379.79	424.47	381.04	419.06	422.43	373.83
10827079	937.13	961.32	990.56	870.58	899.82	930.56
10827094	63.78	59.52	60.17	59.6	46.79	57.57
10827103	198.07	137.4	148	197.78	183.67	158.68
10827105	1170.25	1072.23	1084.49	1081.34	1056.52	1060.7
10827129	980.29	980.73	977.46	1081.34	1022.26	998.96
10827138	2750.73	2675.33	2799.98	2116.26	2445.31	2524.71
10827149	97.46	72.45	94.22	67.28	66.81	64.16
10827166	398.68	312.27	707.31	125.74	138.32	249.59
10827182	98.43	87.46	101.18	83.52	76.14	85.61
10827201	83.7	86.34	67.86	56.45	221.97	63.18
10827216	895.24	764.37	733.42	298.85	476.58	625.91
10827231	921.9	1277.85	1263.84	900.4	1636.28	1366.72
10827238	5.91	6.22	5.26	5.51	5.46	5.09
10827240	2148.03	1716.91	2071.13	1633.56	2122.43	1800.77
10827262	37.8	47.21	52.81	57.21	42.53	53.97
10827264	124.37	112.46	115.19	122.07	130.32	122.06
10827279	714.32	760.07	693.05	792.29	733.01	729.3
10827289	343.14	443.57	422.93	407.25	425.41	423.05
10827292	153.07	172.34	143.07	143.5	146.84	141.3
10827299	70.48	66.62	81.24	66.46	76.61	78.03
10827305	1082.09	1041.97	1039.01	1091.96	1046.1	1021.77
10827309	817.46	791.52	764.48	713.24	719.12	739.72
10827342	79.02	71.23	78.42	81.22	76.84	76.8
10827347	149.54	192.13	151.59	216.01	208.28	199.01
10827349	562.31	457.91	522.77	421.24	446.38	439.82
10827362	12.36	11.78	9.15	8.3	9.83	8.76
10827364	318.04	374.81	357.12	337.65	335.91	332.12
10827367	390.98	424.9	407.28	484.93	426.54	430.94
10827370	518.83	449.82	508.34	477.85	397	488.75
10827382	345.96	402.9	424.09	695.98	556.51	542.96
10827400	215.66	168.17	178.03	128.9	135.1	136.26
10827407	5993.57	5966.21	6101.3	5366.26	5838.17	5727.54
10827409	107.04	94.33	90.56	85.53	91.43	83.93
10827413	55.62	55.18	51.1	47.31	49.27	47.37
